	case	comparison	SNF: FDA & CGC
205189	PROS10448-1115156	ACH-000989	0.9979255538627273
205019	PROS10448-1115156	ACH-000625	0.9979266418973273
204979	PROS10448-1115156	ACH-000552	0.9979267154064342
205166	PROS10448-1115156	ACH-000919	0.9979269179304323
204837	PROS10448-1115156	ACH-000238	0.9979270217281531
204794	PROS10448-1115156	ACH-000121	0.9979271149693659
205055	PROS10448-1115156	ACH-000693	0.9979273240129536
204764	PROS10448-1115156	ACH-000023	0.9979273691910637
204967	PROS10448-1115156	ACH-000525	0.9979278465514368
205138	PROS10448-1115156	ACH-000863	0.9979278638316925
204984	PROS10448-1115156	ACH-000561	0.9979279901222904
205075	PROS10448-1115156	ACH-000733	0.9979280558562841
205107	PROS10448-1115156	ACH-000803	0.9979283752623266
205183	PROS10448-1115156	ACH-000970	0.9979286788931567
205179	PROS10448-1115156	ACH-000962	0.9979291553768879
205022	PROS10448-1115156	ACH-000631	0.9979294557325902
204897	PROS10448-1115156	ACH-000379	0.9979297650008468
205143	PROS10448-1115156	ACH-000869	0.997929825431175
205071	PROS10448-1115156	ACH-000725	0.9979299585091719
205207	PROS10448-1115156	ACH-001233	0.9979302116272261
204892	PROS10448-1115156	ACH-000364	0.9979304476251011
204935	PROS10448-1115156	ACH-000451	0.9979305518984555
205053	PROS10448-1115156	ACH-000689	0.9979305882645189
205028	PROS10448-1115156	ACH-000643	0.9979305900329096
205029	PROS10448-1115156	ACH-000647	0.997930776503521
205136	PROS10448-1115156	ACH-000860	0.9979315893914529
205059	PROS10448-1115156	ACH-000703	0.997932155912876
205184	PROS10448-1115156	ACH-000971	0.9979328369976118
205167	PROS10448-1115156	ACH-000924	0.9979333421697618
205000	PROS10448-1115156	ACH-000587	0.9979333722532711
205116	PROS10448-1115156	ACH-000824	0.9979333728732913
204816	PROS10448-1115156	ACH-000187	0.9979340986343848
205204	PROS10448-1115156	ACH-001151	0.9979342083209624
205020	PROS10448-1115156	ACH-000627	0.9979346728419543
205083	PROS10448-1115156	ACH-000752	0.9979352737839872
204775	PROS10448-1115156	ACH-000078	0.9979362599722406
204987	PROS10448-1115156	ACH-000565	0.9979364051458036
204998	PROS10448-1115156	ACH-000585	0.9979368393097776
204943	PROS10448-1115156	ACH-000475	0.9979369009024853
204780	PROS10448-1115156	ACH-000098	0.9979372776060211
204980	PROS10448-1115156	ACH-000555	0.9979379137838224
205146	PROS10448-1115156	ACH-000878	0.9979384547905056
205144	PROS10448-1115156	ACH-000871	0.9979385404159045
204926	PROS10448-1115156	ACH-000437	0.997938573986543
205073	PROS10448-1115156	ACH-000729	0.9979392974905392
204803	PROS10448-1115156	ACH-000148	0.9979394128286863
204939	PROS10448-1115156	ACH-000465	0.9979395331659138
205205	PROS10448-1115156	ACH-001189	0.9979400880975655
205172	PROS10448-1115156	ACH-000940	0.9979403725131869
205016	PROS10448-1115156	ACH-000621	0.9979413676858339
204827	PROS10448-1115156	ACH-000212	0.9979419650966371
204778	PROS10448-1115156	ACH-000092	0.997941995870008
205040	PROS10448-1115156	ACH-000667	0.9979422389494997
204878	PROS10448-1115156	ACH-000347	0.9979425917949144
204986	PROS10448-1115156	ACH-000563	0.9979428913963737
205157	PROS10448-1115156	ACH-000900	0.9979428984477638
204761	PROS10448-1115156	ACH-000015	0.9979434947259432
204759	PROS10448-1115156	ACH-000009	0.9979436358450123
205114	PROS10448-1115156	ACH-000819	0.997944269304096
204923	PROS10448-1115156	ACH-000431	0.9979447034373581
204782	PROS10448-1115156	ACH-000100	0.9979447511910623
205032	PROS10448-1115156	ACH-000651	0.9979448152160443
205092	PROS10448-1115156	ACH-000776	0.9979449418012638
204818	PROS10448-1115156	ACH-000189	0.9979459403718252
204839	PROS10448-1115156	ACH-000243	0.9979460038951595
204959	PROS10448-1115156	ACH-000510	0.9979462447953479
204793	PROS10448-1115156	ACH-000118	0.9979463505655449
204840	PROS10448-1115156	ACH-000244	0.9979465678807584
205170	PROS10448-1115156	ACH-000929	0.9979468346834048
204981	PROS10448-1115156	ACH-000558	0.9979470679698904
205200	PROS10448-1115156	ACH-001090	0.9979470762144157
204901	PROS10448-1115156	ACH-000389	0.9979476221623148
205206	PROS10448-1115156	ACH-001190	0.9979494093948136
205150	PROS10448-1115156	ACH-000883	0.9979494371552433
204925	PROS10448-1115156	ACH-000434	0.9979510273997295
205193	PROS10448-1115156	ACH-001021	0.9979511302496343
205076	PROS10448-1115156	ACH-000738	0.9979514891021465
205125	PROS10448-1115156	ACH-000843	0.9979517037801618
205086	PROS10448-1115156	ACH-000759	0.9979523146492213
204815	PROS10448-1115156	ACH-000186	0.9979524724477357
204907	PROS10448-1115156	ACH-000399	0.9979526388384595
204912	PROS10448-1115156	ACH-000416	0.9979543789266343
204883	PROS10448-1115156	ACH-000352	0.9979547223893037
204870	PROS10448-1115156	ACH-000320	0.9979553326761328
204855	PROS10448-1115156	ACH-000282	0.9979561744851904
205180	PROS10448-1115156	ACH-000963	0.9979567352880699
205194	PROS10448-1115156	ACH-001023	0.9979591902828996
204768	PROS10448-1115156	ACH-000042	0.9979609294224222
205012	PROS10448-1115156	ACH-000615	0.997960956761652
205106	PROS10448-1115156	ACH-000802	0.9979610798890297
205045	PROS10448-1115156	ACH-000674	0.9979611746885423
204829	PROS10448-1115156	ACH-000219	0.9979640617350433
204865	PROS10448-1115156	ACH-000308	0.9979670670219029
205113	PROS10448-1115156	ACH-000818	0.9979671692228462
204997	PROS10448-1115156	ACH-000584	0.9979680093764034
204802	PROS10448-1115156	ACH-000147	0.9979689490333825
204940	PROS10448-1115156	ACH-000469	0.997969595459513
205199	PROS10448-1115156	ACH-001089	0.9979724456362142
204851	PROS10448-1115156	ACH-000269	0.9979727074541924
205011	PROS10448-1115156	ACH-000614	0.997972837009249
205185	PROS10448-1115156	ACH-000976	0.9979731375285668
205049	PROS10448-1115156	ACH-000679	0.997973519524227
205068	PROS10448-1115156	ACH-000720	0.9979740137901468
204977	PROS10448-1115156	ACH-000547	0.9979746741983752
204887	PROS10448-1115156	ACH-000356	0.9979755911972087
204996	PROS10448-1115156	ACH-000581	0.997975754257154
204869	PROS10448-1115156	ACH-000319	0.9979763131042487
204946	PROS10448-1115156	ACH-000481	0.9979763171407804
204975	PROS10448-1115156	ACH-000545	0.9979774048097965
204825	PROS10448-1115156	ACH-000210	0.997978055757114
205174	PROS10448-1115156	ACH-000947	0.9979792230779075
204917	PROS10448-1115156	ACH-000424	0.9979798537985675
205031	PROS10448-1115156	ACH-000650	0.9979800065219877
204822	PROS10448-1115156	ACH-000200	0.997980567352549
204769	PROS10448-1115156	ACH-000047	0.9979812740892067
204951	PROS10448-1115156	ACH-000488	0.9979814657087012
204973	PROS10448-1115156	ACH-000536	0.9979818896507342
205054	PROS10448-1115156	ACH-000691	0.9979820596541104
204968	PROS10448-1115156	ACH-000527	0.9979828550986324
204963	PROS10448-1115156	ACH-000518	0.9979828863416184
205186	PROS10448-1115156	ACH-000979	0.997983019943141
205100	PROS10448-1115156	ACH-000789	0.9979831830151439
204804	PROS10448-1115156	ACH-000149	0.9979832842908176
205110	PROS10448-1115156	ACH-000811	0.9979835073196052
204862	PROS10448-1115156	ACH-000303	0.9979838638259946
205063	PROS10448-1115156	ACH-000713	0.9979839640846603
204890	PROS10448-1115156	ACH-000360	0.9979845581184912
205010	PROS10448-1115156	ACH-000613	0.9979849879970428
204994	PROS10448-1115156	ACH-000577	0.9979852866105965
205067	PROS10448-1115156	ACH-000719	0.9979855712357978
205074	PROS10448-1115156	ACH-000730	0.9979856893884678
204900	PROS10448-1115156	ACH-000384	0.9979859180659298
205119	PROS10448-1115156	ACH-000827	0.9979864041461151
205196	PROS10448-1115156	ACH-001039	0.9979864807013241
204919	PROS10448-1115156	ACH-000427	0.9979870251715875
205058	PROS10448-1115156	ACH-000699	0.9979870815845423
204849	PROS10448-1115156	ACH-000264	0.9979871845934003
204931	PROS10448-1115156	ACH-000447	0.9979875606720465
204898	PROS10448-1115156	ACH-000381	0.9979879890925778
205069	PROS10448-1115156	ACH-000722	0.9979883455325353
205050	PROS10448-1115156	ACH-000680	0.9979886027597268
204854	PROS10448-1115156	ACH-000277	0.9979889898916383
204905	PROS10448-1115156	ACH-000395	0.997989315348449
204882	PROS10448-1115156	ACH-000351	0.9979893804945341
205164	PROS10448-1115156	ACH-000916	0.9979894550301758
204961	PROS10448-1115156	ACH-000515	0.9979898365472331
205099	PROS10448-1115156	ACH-000788	0.9979902132784981
204819	PROS10448-1115156	ACH-000191	0.9979906581601856
205140	PROS10448-1115156	ACH-000865	0.9979908083265956
204841	PROS10448-1115156	ACH-000248	0.99799087651334
205048	PROS10448-1115156	ACH-000678	0.9979910963095442
205142	PROS10448-1115156	ACH-000867	0.997991104418614
204853	PROS10448-1115156	ACH-000276	0.9979915250873254
205160	PROS10448-1115156	ACH-000906	0.9979915745010604
205103	PROS10448-1115156	ACH-000793	0.9979916181229769
204930	PROS10448-1115156	ACH-000443	0.9979918214115864
204863	PROS10448-1115156	ACH-000304	0.9979918266651834
204888	PROS10448-1115156	ACH-000358	0.997992481703194
204958	PROS10448-1115156	ACH-000508	0.9979928833556202
205203	PROS10448-1115156	ACH-001138	0.9979931713684578
204836	PROS10448-1115156	ACH-000236	0.9979934111468446
205038	PROS10448-1115156	ACH-000665	0.9979940944341749
204873	PROS10448-1115156	ACH-000330	0.9979945178661752
204995	PROS10448-1115156	ACH-000580	0.9979949152270783
204763	PROS10448-1115156	ACH-000021	0.9979949308118902
205115	PROS10448-1115156	ACH-000823	0.9979956240985438
205072	PROS10448-1115156	ACH-000727	0.997995933944604
205027	PROS10448-1115156	ACH-000640	0.9979959560160236
