	case	comparison	SNF: FDA & CGC
204977	MEL-IPI_Pat123	ACH-000547	0.9978693456519748
204997	MEL-IPI_Pat123	ACH-000584	0.9978700640327892
204886	MEL-IPI_Pat123	ACH-000355	0.9978720104559183
204776	MEL-IPI_Pat123	ACH-000082	0.9978727679714234
205024	MEL-IPI_Pat123	ACH-000637	0.9978729496616523
205036	MEL-IPI_Pat123	ACH-000662	0.9978733429618999
205114	MEL-IPI_Pat123	ACH-000819	0.9978734186294239
204766	MEL-IPI_Pat123	ACH-000035	0.9978740725472683
204939	MEL-IPI_Pat123	ACH-000465	0.997874095080609
205071	MEL-IPI_Pat123	ACH-000725	0.9978745695338378
204849	MEL-IPI_Pat123	ACH-000264	0.997874597672703
205161	MEL-IPI_Pat123	ACH-000910	0.997874924118368
204964	MEL-IPI_Pat123	ACH-000521	0.9978750889139081
205164	MEL-IPI_Pat123	ACH-000916	0.9978765382192646
205115	MEL-IPI_Pat123	ACH-000823	0.9978778116793711
204994	MEL-IPI_Pat123	ACH-000577	0.9978781498792201
205063	MEL-IPI_Pat123	ACH-000713	0.9978781831989985
204927	MEL-IPI_Pat123	ACH-000438	0.9978790869106214
204842	MEL-IPI_Pat123	ACH-000249	0.9978791851026052
204930	MEL-IPI_Pat123	ACH-000443	0.9978813452927355
204946	MEL-IPI_Pat123	ACH-000481	0.9978813733268539
204902	MEL-IPI_Pat123	ACH-000391	0.9978817386716327
204852	MEL-IPI_Pat123	ACH-000270	0.9978819340512622
204978	MEL-IPI_Pat123	ACH-000548	0.9978831780834296
205185	MEL-IPI_Pat123	ACH-000976	0.9978832734195651
204763	MEL-IPI_Pat123	ACH-000021	0.9978837286952351
205155	MEL-IPI_Pat123	ACH-000893	0.9978837691125962
205152	MEL-IPI_Pat123	ACH-000888	0.9978840030911643
204865	MEL-IPI_Pat123	ACH-000308	0.9978842794835574
204833	MEL-IPI_Pat123	ACH-000228	0.9978843044822587
205129	MEL-IPI_Pat123	ACH-000849	0.9978843530590411
204931	MEL-IPI_Pat123	ACH-000447	0.9978850169231714
204888	MEL-IPI_Pat123	ACH-000358	0.997885314156204
