	case	comparison	SNF: FDA & CGC
204957	PROS12319B-SU2C-06115121	ACH-000506	0.9978603616584734
204796	PROS12319B-SU2C-06115121	ACH-000132	0.9978607819817404
204922	PROS12319B-SU2C-06115121	ACH-000430	0.9978611058592498
205121	PROS12319B-SU2C-06115121	ACH-000830	0.9978613336433082
205098	PROS12319B-SU2C-06115121	ACH-000787	0.9978615172836743
205090	PROS12319B-SU2C-06115121	ACH-000772	0.9978619847483796
205130	PROS12319B-SU2C-06115121	ACH-000852	0.9978622162137708
204880	PROS12319B-SU2C-06115121	ACH-000349	0.9978623173812639
205134	PROS12319B-SU2C-06115121	ACH-000858	0.9978623559551968
204806	PROS12319B-SU2C-06115121	ACH-000155	0.9978626725536598
204866	PROS12319B-SU2C-06115121	ACH-000309	0.9978632779322019
205065	PROS12319B-SU2C-06115121	ACH-000717	0.9978637400182419
204936	PROS12319B-SU2C-06115121	ACH-000452	0.9978641560384546
204785	PROS12319B-SU2C-06115121	ACH-000107	0.9978649019267022
205001	PROS12319B-SU2C-06115121	ACH-000589	0.9978653416498726
205201	PROS12319B-SU2C-06115121	ACH-001125	0.9978664923830511
205109	PROS12319B-SU2C-06115121	ACH-000810	0.9978668932407523
204877	PROS12319B-SU2C-06115121	ACH-000343	0.9978743759378781
204773	PROS12319B-SU2C-06115121	ACH-000067	0.997874443446544
204879	PROS12319B-SU2C-06115121	ACH-000348	0.9978780209746527
204910	PROS12319B-SU2C-06115121	ACH-000403	0.9978783939270056
204911	PROS12319B-SU2C-06115121	ACH-000408	0.9978790864670661
204764	PROS12319B-SU2C-06115121	ACH-000023	0.9978794555058835
205057	PROS12319B-SU2C-06115121	ACH-000698	0.9978826848134456
205082	PROS12319B-SU2C-06115121	ACH-000749	0.9978849137166673
204935	PROS12319B-SU2C-06115121	ACH-000451	0.9978877621739516
204799	PROS12319B-SU2C-06115121	ACH-000142	0.9978880613452095
204891	PROS12319B-SU2C-06115121	ACH-000361	0.9978900733901184
204839	PROS12319B-SU2C-06115121	ACH-000243	0.9978904966835009
205198	PROS12319B-SU2C-06115121	ACH-001065	0.9978927798907253
204876	PROS12319B-SU2C-06115121	ACH-000341	0.9978928456420999
205177	PROS12319B-SU2C-06115121	ACH-000955	0.9978932156693047
205080	PROS12319B-SU2C-06115121	ACH-000747	0.9978932178135348
205042	PROS12319B-SU2C-06115121	ACH-000669	0.9978940321805925
205022	PROS12319B-SU2C-06115121	ACH-000631	0.9978940385756169
204871	PROS12319B-SU2C-06115121	ACH-000322	0.997895260359337
205017	PROS12319B-SU2C-06115121	ACH-000622	0.9978954519873545
204797	PROS12319B-SU2C-06115121	ACH-000138	0.9978955518080891
204916	PROS12319B-SU2C-06115121	ACH-000423	0.9978967349614335
204885	PROS12319B-SU2C-06115121	ACH-000354	0.9978969204004571
205070	PROS12319B-SU2C-06115121	ACH-000724	0.9978969515783528
204881	PROS12319B-SU2C-06115121	ACH-000350	0.9978972134348522
204991	PROS12319B-SU2C-06115121	ACH-000571	0.9978972277061487
205143	PROS12319B-SU2C-06115121	ACH-000869	0.9978982097344467
205141	PROS12319B-SU2C-06115121	ACH-000866	0.997899833818664
205043	PROS12319B-SU2C-06115121	ACH-000670	0.9979008384651246
204832	PROS12319B-SU2C-06115121	ACH-000225	0.9979018608081707
205029	PROS12319B-SU2C-06115121	ACH-000647	0.9979023794209485
204987	PROS12319B-SU2C-06115121	ACH-000565	0.997902433401371
204980	PROS12319B-SU2C-06115121	ACH-000555	0.9979024439685126
205075	PROS12319B-SU2C-06115121	ACH-000733	0.9979025530662933
205131	PROS12319B-SU2C-06115121	ACH-000853	0.9979028848021526
205020	PROS12319B-SU2C-06115121	ACH-000627	0.9979030541675484
205014	PROS12319B-SU2C-06115121	ACH-000617	0.9979035627625206
204771	PROS12319B-SU2C-06115121	ACH-000055	0.9979037747789494
204795	PROS12319B-SU2C-06115121	ACH-000129	0.9979038970446703
204938	PROS12319B-SU2C-06115121	ACH-000463	0.997904288718735
204976	PROS12319B-SU2C-06115121	ACH-000546	0.9979044306365003
204867	PROS12319B-SU2C-06115121	ACH-000311	0.9979045425276283
204786	PROS12319B-SU2C-06115121	ACH-000108	0.9979047435103738
205000	PROS12319B-SU2C-06115121	ACH-000587	0.9979056536532959
205162	PROS12319B-SU2C-06115121	ACH-000911	0.9979057750011252
204928	PROS12319B-SU2C-06115121	ACH-000441	0.9979060386078941
204926	PROS12319B-SU2C-06115121	ACH-000437	0.9979064083337222
205122	PROS12319B-SU2C-06115121	ACH-000835	0.9979067654837509
205156	PROS12319B-SU2C-06115121	ACH-000894	0.9979069660206377
204816	PROS12319B-SU2C-06115121	ACH-000187	0.9979077118758382
205052	PROS12319B-SU2C-06115121	ACH-000688	0.9979081126938818
205202	PROS12319B-SU2C-06115121	ACH-001126	0.9979081463511886
204801	PROS12319B-SU2C-06115121	ACH-000145	0.9979087141207642
204809	PROS12319B-SU2C-06115121	ACH-000169	0.9979089562637478
204765	PROS12319B-SU2C-06115121	ACH-000030	0.9979091149102597
204812	PROS12319B-SU2C-06115121	ACH-000176	0.997909337194771
205192	PROS12319B-SU2C-06115121	ACH-001016	0.9979094671414085
205205	PROS12319B-SU2C-06115121	ACH-001189	0.9979106714036823
204792	PROS12319B-SU2C-06115121	ACH-000117	0.9979119085428289
204828	PROS12319B-SU2C-06115121	ACH-000217	0.9979120879780209
205002	PROS12319B-SU2C-06115121	ACH-000595	0.9979123607353997
205059	PROS12319B-SU2C-06115121	ACH-000703	0.9979123954883125
204966	PROS12319B-SU2C-06115121	ACH-000524	0.997913655423533
205138	PROS12319B-SU2C-06115121	ACH-000863	0.9979136690857399
204787	PROS12319B-SU2C-06115121	ACH-000109	0.9979138395760166
204889	PROS12319B-SU2C-06115121	ACH-000359	0.9979140988502259
204759	PROS12319B-SU2C-06115121	ACH-000009	0.9979148318351344
205032	PROS12319B-SU2C-06115121	ACH-000651	0.9979153821325222
204909	PROS12319B-SU2C-06115121	ACH-000401	0.9979155516380918
205135	PROS12319B-SU2C-06115121	ACH-000859	0.9979156021895066
